timestamp,task_id,policy_name,event_type,cpu_time_used,context_switches_so_far
0,1,SJF,START,0,0
2,1,SJF,COMPLETE,2,0
2,2,SJF,START,0,1
7,2,SJF,COMPLETE,5,1
7,3,SJF,START,0,2
17,3,SJF,COMPLETE,10,2
17,5,SJF,START,0,3
21,5,SJF,COMPLETE,4,3
21,4,SJF,START,0,4
31,4,SJF,COMPLETE,10,4
0,1,PRIORITY,START,0,0
2,1,PRIORITY,COMPLETE,2,0
2,2,PRIORITY,START,0,1
7,2,PRIORITY,COMPLETE,5,1
7,4,PRIORITY,START,0,2
17,4,PRIORITY,COMPLETE,10,2
17,5,PRIORITY,START,0,3
21,5,PRIORITY,COMPLETE,4,3
21,3,PRIORITY,START,0,4
31,3,PRIORITY,COMPLETE,10,4
0,1,RR,START,0,0
2,1,RR,COMPLETE,2,0
2,2,RR,START,0,1
4,2,RR,PREEMPT,2,1
4,4,RR,START,0,2
6,4,RR,PREEMPT,2,2
6,3,RR,START,0,3
8,3,RR,PREEMPT,2,3
8,2,RR,START,0,4
10,2,RR,PREEMPT,2,4
10,4,RR,START,0,5
12,4,RR,PREEMPT,2,5
12,5,RR,START,0,6
14,5,RR,PREEMPT,2,6
14,3,RR,START,0,7
16,3,RR,PREEMPT,2,7
16,2,RR,START,0,8
17,2,RR,COMPLETE,1,8
17,4,RR,START,0,9
19,4,RR,PREEMPT,2,9
19,5,RR,START,0,10
21,5,RR,COMPLETE,2,10
21,3,RR,START,0,11
23,3,RR,PREEMPT,2,11
23,4,RR,START,0,12
25,4,RR,PREEMPT,2,12
25,3,RR,START,0,13
27,3,RR,PREEMPT,2,13
27,4,RR,START,0,14
29,4,RR,COMPLETE,2,14
29,3,RR,START,0,15
31,3,RR,COMPLETE,2,15
0,1,REAL_OS,START,0,0
0,2,REAL_OS,START,0,0
timestamp,task_id,policy_name,event_type,cpu_time_used,context_switches_so_far
0,1,SJF,START,0,0
2,1,SJF,COMPLETE,2,0
2,2,SJF,START,0,1
7,2,SJF,COMPLETE,5,1
7,3,SJF,START,0,2
17,3,SJF,COMPLETE,10,2
17,5,SJF,START,0,3
21,5,SJF,COMPLETE,4,3
21,4,SJF,START,0,4
31,4,SJF,COMPLETE,10,4
0,1,PRIORITY,START,0,0
2,1,PRIORITY,COMPLETE,2,0
2,2,PRIORITY,START,0,1
7,2,PRIORITY,COMPLETE,5,1
7,4,PRIORITY,START,0,2
17,4,PRIORITY,COMPLETE,10,2
17,5,PRIORITY,START,0,3
21,5,PRIORITY,COMPLETE,4,3
21,3,PRIORITY,START,0,4
31,3,PRIORITY,COMPLETE,10,4
0,1,RR,START,0,0
2,1,RR,COMPLETE,2,0
2,2,RR,START,0,1
4,2,RR,PREEMPT,2,1
4,4,RR,START,0,2
6,4,RR,PREEMPT,2,2
6,3,RR,START,0,3
8,3,RR,PREEMPT,2,3
8,2,RR,START,0,4
10,2,RR,PREEMPT,2,4
10,4,RR,START,0,5
12,4,RR,PREEMPT,2,5
12,5,RR,START,0,6
14,5,RR,PREEMPT,2,6
14,3,RR,START,0,7
16,3,RR,PREEMPT,2,7
16,2,RR,START,0,8
17,2,RR,COMPLETE,1,8
17,4,RR,START,0,9
19,4,RR,PREEMPT,2,9
19,5,RR,START,0,10
21,5,RR,COMPLETE,2,10
21,3,RR,START,0,11
23,3,RR,PREEMPT,2,11
23,4,RR,START,0,12
25,4,RR,PREEMPT,2,12
